FK_MERG_L3,29.286,680079,9149189,44872388544
FK_MERG_L4,33.645,591976,19917031,67748996254
FK_SORT_L3,33.979,586155,9149189,44872388544
FK_SORT_L4,37.893,525609,19917031,67748996254
NFK_JOIN_L3,88.931,223962,9149189,44872388544
HASH_JOIN,52.728,377732,9149189,44872388544
NESTED_LOOP_JOIN,239.128,83290,9149189,44872388544
NLJ_L4,511.679,38925,905313881,1948812795872
FK_SORT_L2,602.353,33065,9149189,44872388544
FK_MERG_L2,377.492,52761,9149189,44872388544
NFK_JOIN_L2,6680.886,2981,9149189,44872388544
