FK_MERG_L3,10,2.851,698703,88977,435997061
FK_MERG_L4,10,3.736,533169,1991702,4478439098
FK_SORT_L3,10,2.565,776491,88977,435997061
FK_SORT_L4,10,3.485,571546,1991702,4478439098
NFK_JOIN_L3,10,4.401,452552,88977,435997061
HASH_JOIN,10,7.225,275684,88977,435997061
NESTED_LOOP_JOIN,10,4.586,434325,88977,435997061
FK_MERG_L3,20,5.144,774325,348842,1707703784
FK_MERG_L4,20,7.148,557257,3983406,9429480143
FK_SORT_L3,20,4.434,898472,348842,1707703784
FK_SORT_L4,20,6.618,601916,3983406,9429480143
NFK_JOIN_L3,20,9.289,428830,348842,1707703784
HASH_JOIN,20,11.945,333486,348842,1707703784
NESTED_LOOP_JOIN,20,12.703,313581,348842,1707703784
FK_MERG_L3,30,8.825,677096,770128,3770375522
FK_MERG_L4,30,11.820,505505,5975110,14828579010
FK_SORT_L3,30,7.435,803627,770128,3770375522
FK_SORT_L4,30,10.217,584809,5975110,14828579010
NFK_JOIN_L3,30,18.897,316196,770128,3770375522
HASH_JOIN,30,16.341,365662,770128,3770375522
NESTED_LOOP_JOIN,30,25.607,233340,770128,3770375522
FK_MERG_L3,40,10.234,778476,1340951,6567497461
FK_MERG_L4,40,14.021,568209,7966814,20644476625
FK_SORT_L3,40,8.773,908135,1340951,6567497461
FK_SORT_L4,40,12.414,641769,7966814,20644476625
NFK_JOIN_L3,40,21.355,373068,1340951,6567497461
HASH_JOIN,40,23.244,342752,1340951,6567497461
NESTED_LOOP_JOIN,40,42.647,186808,1340951,6567497461
FK_MERG_L3,50,12.570,792275,2049332,10042776929
FK_MERG_L4,50,16.258,612530,9958518,26846187342
FK_SORT_L3,50,14.406,691271,2049332,10042776929
FK_SORT_L4,50,17.793,559700,9958518,26846187342
NFK_JOIN_L3,50,35.940,277087,2049332,10042776929
HASH_JOIN,50,26.862,370734,2049332,10042776929
NESTED_LOOP_JOIN,50,64.130,155285,2049332,10042776929
FK_MERG_L3,60,19.441,614680,3107564,15223410062
FK_MERG_L4,60,23.632,505688,11950221,34010026325
FK_SORT_L3,60,16.512,723717,3107564,15223410062
FK_SORT_L4,60,20.179,592198,11950221,34010026325
NFK_JOIN_L3,60,43.854,272499,3107564,15223410062
HASH_JOIN,60,31.991,373551,3107564,15223410062
NESTED_LOOP_JOIN,60,90.246,132419,3107564,15223410062
FK_MERG_L3,70,21.767,640494,4358268,21351379965
FK_MERG_L4,70,26.374,528623,13941924,41712280479
FK_SORT_L3,70,18.417,757009,4358268,21351379965
FK_SORT_L4,70,22.798,611544,13941924,41712280479
NFK_JOIN_L3,70,47.334,294546,4358268,21351379965
HASH_JOIN,70,37.239,374388,4358268,21351379965
NESTED_LOOP_JOIN,70,120.932,115288,4358268,21351379965
FK_MERG_L3,80,23.857,667878,5788727,28366723394
FK_MERG_L4,80,28.645,556235,15933627,49920013117
FK_SORT_L3,80,20.570,774596,5788727,28366723394
FK_SORT_L4,80,25.348,628603,15933627,49920013117
NFK_JOIN_L3,80,53.051,300345,5788727,28366723394
HASH_JOIN,80,42.794,372334,5788727,28366723394
NESTED_LOOP_JOIN,80,155.964,102162,5788727,28366723394
FK_MERG_L3,90,26.093,686986,7389216,36223652563
FK_MERG_L4,90,31.185,574808,17925329,58608058801
FK_SORT_L3,90,22.734,788483,7389216,36223652563
FK_SORT_L4,90,27.886,642817,17925329,58608058801
NFK_JOIN_L3,90,56.148,319249,7389216,36223652563
HASH_JOIN,90,45.991,389759,7389216,36223652563
NESTED_LOOP_JOIN,90,195.201,91830,7389216,36223652563
FK_MERG_L3,100,29.579,673361,9149189,44872388544
FK_MERG_L4,100,33.417,596010,19917031,67748996254
FK_SORT_L3,100,33.697,591056,9149189,44872388544
FK_SORT_L4,100,37.864,526021,19917031,67748996254
NFK_JOIN_L3,100,88.914,224003,9149189,44872388544
HASH_JOIN,100,52.602,378633,9149189,44872388544
NESTED_LOOP_JOIN,100,239.143,83285,9149189,44872388544
