MERG_L2,1,7.011031,1094.2755780141324
MERG_L2,2,7.063902,1086.085282610093
MERG_L2,3,7.114879,1078.303650701579
MERG_L2,4,7.178231,1068.787003371722
MERG_L2,5,7.079725,1083.6579104414366
MERG_L3,1,0.330981,23179.57828394983
MERG_L3,2,0.634889,12084.002085403905
MERG_L3,3,0.369971,20736.760448791934
MERG_L3,4,0.325487,23570.83385818788
MERG_L3,5,0.328987,23320.070397918462
MERG_L4,1,0.552982,13873.869312201845
MERG_L4,2,0.312623,24540.74076443512
MERG_L4,3,0.373742,20527.529686254155
MERG_L4,4,0.306091,25064.44162030246
MERG_L4,5,0.495937,15469.706837763668
SORT_L2,1,2.77147,2768.2060422808113
SORT_L2,2,2.877977,2665.7614011508776
SORT_L2,3,2.808621,2731.589630640802
SORT_L2,4,2.839499,2701.885086066239
SORT_L2,5,3.001769,2555.8262477892204
SORT_L3,1,0.524173,14636.389131069323
SORT_L3,2,0.561991,13651.464169355026
SORT_L3,3,1.215936,6309.542607505658
SORT_L3,4,0.517991,14811.068145971649
SORT_L3,5,0.649217,11817.312239205072
SORT_L4,1,0.441059,17394.49824173183
SORT_L4,2,0.423753,18104.88657307441
SORT_L4,3,0.40048,19157.011586096683
SORT_L4,4,0.400119,19174.295647045004
SORT_L4,5,0.335076,22896.298153254786
HASH_JOIN,1,0.851414,9010.89246829392
HASH_JOIN,2,0.792422,9681.709997955635
HASH_JOIN,3,0.92792,8267.954133977068
HASH_JOIN,4,0.629486,12187.721410801829
HASH_JOIN,5,0.696079,11021.737475200373
NLJ,1,1.133619,6767.705904717546
NLJ,2,0.856676,8955.544453212184
NLJ,3,1.040922,7370.388943648036
NLJ,4,1.20414,6371.352168352517
NLJ,5,1.078869,7111.150658699063
